ang_sep,delta_mag
0.0,0.0
0.01,0.0
0.02,0.0
0.025848,0.0
0.03,0.283006
0.04,0.964587
0.05,1.646168
0.06,2.327749
0.07,3.00933
0.08,3.690911
0.09,4.372493
0.1,5.054074
0.1,5.054074
0.11,5.083744
0.12,5.113281
0.13,5.142773
0.14,5.17231
0.15,5.20198
0.16,5.231873
0.17,5.262078
0.18,5.29268
0.19,5.323677
0.2,5.35498
0.21,5.386496
0.22,5.418133
0.23,5.449834
0.24,5.482381
0.25,5.517394
0.26,5.556529
0.27,5.601442
0.28,5.653716
0.29,5.713261
0.3,5.778308
0.31,5.847017
0.32,5.91755
0.33,5.988102
0.34,6.057688
0.35,6.126145
0.36,6.193343
0.37,6.259155
0.38,6.323451
0.39,6.386106
0.4,6.446996
0.41,6.505997
0.42,6.562986
0.43,6.617833
0.44,6.670284
0.45,6.719958
0.46,6.766467
0.47,6.809426
0.48,6.848468
0.49,6.883713
0.5,6.915763
0.51,6.945242
0.52,6.972775
0.53,6.998992
0.54,7.024721
0.55,7.050978
0.56,7.078791
0.57,7.109186
0.58,7.143141
0.59,7.180501
0.6,7.21998
0.61,7.260243
0.62,7.299954
0.63,7.337806
0.64,7.373122
0.65,7.405857
0.66,7.435991
0.67,7.463506
0.68,7.488401
0.69,7.511091
0.7,7.532402
0.71,7.553179
0.72,7.574267
0.73,7.596486
0.74,7.620052
0.75,7.644581
0.76,7.669661
0.77,7.694882
0.78,7.719836
0.79,7.74419
0.8,7.76769
0.81,7.790082
0.82,7.811113
0.83,7.830543
0.84,7.848371
0.85,7.86484
0.86,7.880204
0.87,7.894717
0.88,7.908631
0.89,7.922146
0.9,7.935415
0.91,7.948587
0.92,7.961812
0.93,7.975233
0.94,7.988813
0.95,8.002342
0.96,8.015601
0.97,8.028369
0.98,8.040432
0.99,8.051702
1.0,8.062213
1.01,8.072004
1.02,8.081116
1.03,8.089592
1.04,8.097526
1.05,8.105067
1.06,8.112364
1.07,8.119567
1.08,8.126831
1.09,8.134401
1.1,8.142616
1.11,8.151819
1.12,8.162351
1.13,8.174536
1.14,8.188269
1.15,8.203016
1.16,8.218223
1.17,8.233338
