ang_sep, dmag
0.0,0.0
0.104,2.94
0.193,3.4
0.288,5.893
0.382,6.332
0.473,6.806
0.568,7.317
0.663,7.354
0.756,7.544
0.85,7.713
0.944,7.863
1.038,7.82
1.132,7.929
1.228,8.039
1.321,8.048
1.415,8.084
1.51,8.07
1.604,8.044
1.698,8.126
1.793,8.101
1.887,8.107
1.981,8.123
2.076,8.132
2.17,8.157
2.264,8.14
2.358,8.152
2.452,8.125
2.547,8.142
2.641,8.146
2.735,8.156
2.83,8.129
2.924,8.14
3.018,8.164
3.112,8.154
3.207,8.132
3.301,8.15
3.396,8.138
3.49,8.16
3.584,8.14
3.679,8.162
3.773,8.145
3.867,8.148
3.962,8.123
4.056,8.155
4.15,8.139
4.245,8.161
4.339,8.147
4.433,8.155
4.527,8.158
4.622,8.149
4.716,8.136
4.81,8.148
4.905,8.149
4.999,8.149
5.093,8.158
5.188,8.119
5.282,8.158
5.376,8.154
5.47,8.17
5.564,8.147
5.659,8.151
5.754,8.171
5.847,8.132
5.942,8.166
6.037,8.17
6.13,8.158
6.225,8.15
6.319,8.153
6.413,8.152
6.508,8.147
6.602,8.163
6.696,8.143
6.791,8.155
6.885,8.157
6.979,8.164
7.074,8.164
7.168,8.16
7.262,8.136
7.356,8.153
7.451,8.137
7.545,8.138
7.639,8.146
7.734,8.154
7.828,8.138
7.922,8.144
8.017,8.141
8.111,8.133
8.205,8.125
8.3,8.13
8.394,8.134
8.488,8.115
8.583,8.143
8.677,8.104
8.771,8.085
8.866,8.132
8.96,8.104
9.054,8.106
9.149,8.122
9.243,8.105
9.337,8.091
9.431,8.083
9.526,8.095
9.62,8.093
9.714,8.084
9.809,8.071
9.903,8.065
